time [sec], accel [m/s^2]
1.658726120000000037e+02,-1.458479315042495728e-01
1.658776059999999859e+02,-1.603967100381851196e-01
1.658825999999999965e+02,-1.115624010562896729e-01
1.658875960000000021e+02,-1.421745568513870239e-01
1.658926259999999786e+02,-2.608492672443389893e-01
1.658975849999999923e+02,-2.126506716012954712e-01
1.659025809999999979e+02,-6.849928945302963257e-02
1.659075749999999800e+02,-7.163003087043762207e-02
1.659125699999999881e+02,7.007439620792865753e-03
1.659175649999999962e+02,-4.771225154399871826e-02
1.659225600000000043e+02,-4.851219058036804199e-02
1.659275549999999839e+02,-9.780757129192352295e-02
1.659325499999999920e+02,-3.488623201847076416e-01
1.659375450000000001e+02,-3.272813558578491211e-01
1.659425469999999905e+02,-3.673270642757415771e-01
1.659475339999999903e+02,-2.616370022296905518e-01
1.659525289999999984e+02,1.371953263878822327e-02
1.659575240000000065e+02,-5.192788243293762207e-01
1.659625249999999994e+02,1.057268902659416199e-01
1.659675139999999942e+02,7.038875818252563477e-01
1.659725310000000036e+02,3.365085124969482422e-01
1.659775039999999819e+02,5.777847021818161011e-02
1.659824979999999925e+02,3.104962408542633057e-01
1.659874930000000006e+02,-2.565153241157531738e-01
1.659924890000000062e+02,-1.438680171966552734e+00
1.659974839999999858e+02,-1.126730203628540039e+00
1.660024779999999964e+02,-7.805421352386474609e-01
1.660074730000000045e+02,-7.815518379211425781e-01
1.660124669999999867e+02,2.083038911223411560e-02
1.660174629999999922e+02,6.568080782890319824e-01
1.660224570000000028e+02,1.053972959518432617e+00
1.660274529999999800e+02,8.946620821952819824e-01
1.660324469999999906e+02,3.376719951629638672e-01
1.660374419999999986e+02,6.488388180732727051e-01
1.660424369999999783e+02,1.271529197692871094e-01
1.660474319999999864e+02,-1.083997845649719238e+00
1.660524329999999793e+02,-1.264980196952819824e+00
1.660574220000000025e+02,-7.240526676177978516e-01
1.660624159999999847e+02,-5.268937945365905762e-01
1.660674109999999928e+02,-5.305148363113403320e-01
1.660724060000000009e+02,-2.606422007083892822e-01
1.660774020000000064e+02,1.277975738048553467e-01
1.660823959999999886e+02,8.683490008115768433e-02
1.660873919999999941e+02,2.431649714708328247e-01
1.660923860000000047e+02,2.356972396373748779e-01
1.660973809999999844e+02,2.247440665960311890e-01
1.661023749999999950e+02,2.602955996990203857e-01
1.661073700000000031e+02,2.657911479473114014e-01
1.661123649999999827e+02,2.699418738484382629e-02
1.661173609999999883e+02,-1.209355369210243225e-01
1.661223549999999989e+02,-4.727838188409805298e-02
1.661273529999999994e+02,-3.561959266662597656e-01
1.661323500000000024e+02,-9.044616222381591797e-01
1.661373389999999972e+02,-7.370291352272033691e-01
1.661423340000000053e+02,-5.989851355552673340e-01
1.661473299999999824e+02,-7.151419520378112793e-01
1.661523239999999930e+02,-4.098494946956634521e-01
1.661573199999999986e+02,2.255304306745529175e-01
1.661623160000000041e+02,4.085662662982940674e-01
1.661673099999999863e+02,3.165458440780639648e-01
1.661723039999999969e+02,4.246113896369934082e-01
